Timestamp,Filename,OriginalFileSize_KB,MSE,PSNR,SNR,BER,EmbeddingTime_s,DecodingTime_s,CPU_Time_s,Memory_Increase_MB
2025-10-09 17:08:06,AM Contra - Heart Peripheral_bass.wav,36194.0430,0.0220,106.8831,80.4488,0.0000,9.4042,0.4800,9.5700,112.4459
2025-10-09 17:08:18,AM Contra - Heart Peripheral_drums.wav,36194.0430,0.0221,106.8715,84.8257,0.0000,11.0472,0.4709,11.1700,112.4457
2025-10-09 17:08:31,AM Contra - Heart Peripheral_mixture.wav,36194.0430,0.0220,106.8836,88.7482,0.0000,12.3761,0.4682,11.3300,112.4458
2025-10-09 17:08:42,AM Contra - Heart Peripheral_other.wav,36194.0430,0.0221,106.8733,82.1949,0.0000,10.6803,0.4770,10.8200,112.4458
2025-10-09 17:08:55,AM Contra - Heart Peripheral_vocals.wav,36194.0430,0.0220,106.8829,82.2650,0.0000,11.8515,0.4448,10.3000,112.4459
2025-10-09 17:09:07,Al James - Schoolboy Facination_bass.wav,34543.9141,0.0231,106.6727,81.1251,0.0000,11.2496,0.4557,11.3100,107.6114
2025-10-09 17:09:21,Al James - Schoolboy Facination_drums.wav,34543.9141,0.0231,106.6659,79.4632,0.0000,12.8527,0.4530,11.3100,107.6115
2025-10-09 17:09:34,Al James - Schoolboy Facination_mixture.wav,34543.9141,0.0231,106.6717,87.5923,0.0000,12.3533,0.4436,11.5200,107.6116
2025-10-09 17:09:47,Al James - Schoolboy Facination_other.wav,34543.9141,0.0231,106.6743,80.3677,0.0000,12.5568,0.4433,11.5300,107.6116
2025-10-09 17:10:00,Al James - Schoolboy Facination_vocals.wav,34543.9141,0.0231,106.6760,83.9064,0.0000,11.8049,0.8034,11.1700,107.6115
2025-10-09 17:10:14,Angels In Amplifiers - I'm Alright_bass.wav,30937.8711,0.0258,106.1967,79.3639,0.0000,11.8950,0.7913,11.1100,97.0471
2025-10-09 17:10:26,Angels In Amplifiers - I'm Alright_drums.wav,30937.8711,0.0258,106.1931,80.5115,0.0000,11.0336,0.8308,10.7700,97.0471
2025-10-09 17:10:38,Angels In Amplifiers - I'm Alright_mixture.wav,30937.8711,0.0258,106.1990,88.0842,0.0000,11.0967,0.8041,10.8600,97.0470
2025-10-09 17:10:51,Angels In Amplifiers - I'm Alright_other.wav,30937.8711,0.0258,106.1988,83.6534,0.0000,11.0282,0.7343,10.3900,97.0470
2025-10-09 17:11:01,Angels In Amplifiers - I'm Alright_vocals.wav,30937.8711,0.0257,106.2029,83.3081,0.0000,9.7129,0.4449,9.1900,97.0471
2025-10-09 17:11:15,Arise - Run Run Run_bass.wav,37793.8906,0.0211,107.0587,86.4370,0.0000,13.0009,0.4389,11.4000,117.1330
2025-10-09 17:11:28,Arise - Run Run Run_drums.wav,37793.8906,0.0211,107.0639,81.5314,0.0000,12.0801,0.4407,10.1000,117.1330
2025-10-09 17:11:41,Arise - Run Run Run_mixture.wav,37793.8906,0.0210,107.0773,90.8597,0.0000,12.6041,0.4403,11.1200,117.1330
2025-10-09 17:11:54,Arise - Run Run Run_other.wav,37793.8906,0.0211,107.0603,86.9676,0.0000,11.6411,0.4399,10.4000,117.1330
2025-10-09 17:12:06,Arise - Run Run Run_vocals.wav,37793.8906,0.0211,107.0621,81.7239,0.0000,11.4520,0.4501,10.0600,117.1330
2025-10-09 17:12:18,BKS - Bulldozer_bass.wav,58060.4805,0.0137,108.9263,83.8426,0.0000,10.3421,0.4946,10.4000,176.5078
2025-10-09 17:12:30,BKS - Bulldozer_drums.wav,58060.4805,0.0137,108.9291,86.7199,0.0000,11.3610,0.5335,10.7000,176.5078
2025-10-09 17:12:43,BKS - Bulldozer_mixture.wav,58060.4805,0.0138,108.9241,90.3873,0.0000,11.8069,0.4904,11.2100,176.5077
2025-10-09 17:12:57,BKS - Bulldozer_other.wav,58060.4805,0.0137,108.9330,83.6716,0.0000,13.6467,0.4854,10.9500,176.5078
2025-10-09 17:13:10,BKS - Bulldozer_vocals.wav,58060.4805,0.0137,108.9263,81.8093,0.0000,11.6038,0.4951,10.5500,176.5077
2025-10-09 17:13:23,BKS - Too Much_bass.wav,37920.0117,0.0211,107.0749,82.9391,0.0000,12.3857,0.4491,10.9600,117.5024
2025-10-09 17:13:35,BKS - Too Much_drums.wav,37920.0117,0.0211,107.0742,82.3984,0.0000,10.9841,0.4525,11.1000,117.5023
2025-10-09 17:13:48,BKS - Too Much_mixture.wav,37920.0117,0.0210,107.0793,87.8500,0.0000,12.4998,0.4568,11.6900,117.5026
2025-10-09 17:14:02,BKS - Too Much_other.wav,37920.0117,0.0210,107.0765,79.6606,0.0000,12.5410,0.4378,11.6600,117.5025
