reference,degraded
/content/segments_10s/cover/AM Contra - Heart Peripheral_drums.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/AM Contra - Heart Peripheral_drums.wav
/content/segments_10s/cover/Actions - One Minute Smile_bass.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/Actions - One Minute Smile_bass.wav
/content/segments_10s/cover/Actions - One Minute Smile_mixture.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/Actions - One Minute Smile_mixture.wav
/content/segments_10s/cover/Aimee Norwich - Child_vocals.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/Aimee Norwich - Child_vocals.wav
/content/segments_10s/cover/Al James - Schoolboy Facination_drums.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/Al James - Schoolboy Facination_drums.wav
/content/segments_10s/cover/Alexander Ross - Velvet Curtain_mixture.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/Alexander Ross - Velvet Curtain_mixture.wav
/content/segments_10s/cover/Arise - Run Run Run_drums.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/Arise - Run Run Run_drums.wav
/content/segments_10s/cover/Arise - Run Run Run_other.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/Arise - Run Run Run_other.wav
/content/segments_10s/cover/Auctioneer - Our Future Faces_bass.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/Auctioneer - Our Future Faces_bass.wav
/content/segments_10s/cover/Auctioneer - Our Future Faces_drums.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/Auctioneer - Our Future Faces_drums.wav
/content/segments_10s/cover/AvaLuna - Waterduct_vocals.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/AvaLuna - Waterduct_vocals.wav
/content/segments_10s/cover/BKS - Bulldozer_vocals.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/BKS - Bulldozer_vocals.wav
/content/segments_10s/cover/BKS - Too Much_bass.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/BKS - Too Much_bass.wav
/content/segments_10s/cover/BKS - Too Much_vocals.wav,/content/segments_10s/5_Random_Adaptive_ContentSalt/BKS - Too Much_vocals.wav
