Timestamp,Filename,Type,OriginalFileSize_KB,MSE,PSNR,SNR,BER,EmbeddingTime_s,DecodingTime_s,CPU_Time_s,Memory_Increase_MB
2025-11-21 13:41:03,A Classic Education - NightOwl_bass.wav,AUDIO (.wav),29533.293,0.027,106.0,88.56,0.0,1.3159,1.1915,2.3391,0.0
2025-11-21 13:41:05,A Classic Education - NightOwl_mixture.wav,AUDIO (.wav),29533.293,0.027,106.0,90.06,0.0,1.2841,1.2526,2.3228,0.0
2025-11-21 13:41:08,A Classic Education - NightOwl_drums.wav,AUDIO (.wav),29533.293,0.027,106.0,70.99,0.0,1.3544,1.2106,2.3674,0.0
2025-11-21 13:41:11,A Classic Education - NightOwl_vocals.wav,AUDIO (.wav),29533.293,0.0269,106.01,79.99,0.0,1.8858,1.8083,3.205,0.0
2025-11-21 13:41:15,A Classic Education - NightOwl_other.wav,AUDIO (.wav),29533.293,0.027,105.99,82.65,0.0,1.2366,1.193,2.2569,0.0
2025-11-21 13:41:18,ANiMAL - Clinic A_bass.wav,AUDIO (.wav),41007.7227,0.0194,107.43,86.2,0.0,2.0057,1.6825,3.3925,37.7031
2025-11-21 13:41:22,ANiMAL - Clinic A_drums.wav,AUDIO (.wav),41007.7227,0.0194,107.43,78.92,0.0,1.7899,2.0531,3.5379,0.0
2025-11-21 13:41:26,ANiMAL - Clinic A_other.wav,AUDIO (.wav),41007.7227,0.0194,107.42,84.0,0.0,3.2404,1.8345,3.6295,37.7031
2025-11-21 13:41:31,ANiMAL - Clinic A_mixture.wav,AUDIO (.wav),41007.7227,0.0194,107.44,89.66,0.0,2.9049,1.7464,3.1545,0.0
2025-11-21 13:41:36,ANiMAL - Easy Tiger_bass.wav,AUDIO (.wav),35427.8281,0.0224,106.8,82.92,0.0,4.6981,1.6216,3.5153,32.2539
2025-11-21 13:41:43,ANiMAL - Clinic A_vocals.wav,AUDIO (.wav),41007.7227,0.0194,107.42,82.42,0.0,3.4023,1.6942,3.1926,5.4414
2025-11-21 13:41:48,ANiMAL - Easy Tiger_drums.wav,AUDIO (.wav),35427.8281,0.0226,106.78,83.78,0.0,2.8779,2.3244,3.4856,0.0
2025-11-21 13:41:54,ANiMAL - Easy Tiger_mixture.wav,AUDIO (.wav),35427.8281,0.0225,106.79,88.33,0.0,2.7058,1.5364,2.8748,32.2539
2025-11-21 13:41:59,ANiMAL - Easy Tiger_vocals.wav,AUDIO (.wav),35427.8281,0.0225,106.8,81.94,0.0,2.8103,1.4584,2.7905,0.0
2025-11-21 13:42:03,ANiMAL - Easy Tiger_other.wav,AUDIO (.wav),35427.8281,0.0225,106.78,80.05,0.0,3.3775,2.2095,3.7393,32.2539
2025-11-21 13:42:09,ANiMAL - Rockshow_bass.wav,AUDIO (.wav),28543.8398,0.0279,105.85,83.78,0.0,2.3752,1.2646,2.2752,0.0
2025-11-21 13:42:13,ANiMAL - Rockshow_other.wav,AUDIO (.wav),28543.8398,0.0279,105.85,77.75,0.0,2.6303,1.1459,2.4005,0.0
2025-11-21 13:42:17,ANiMAL - Rockshow_drums.wav,AUDIO (.wav),28543.8398,0.0279,105.85,82.06,0.0,3.2559,1.3571,2.8627,0.0
2025-11-21 13:42:22,ANiMAL - Rockshow_vocals.wav,AUDIO (.wav),28543.8398,0.028,105.84,79.61,0.0,2.8991,1.16,2.3332,0.0
2025-11-21 13:42:26,ANiMAL - Rockshow_mixture.wav,AUDIO (.wav),28543.8398,0.0279,105.85,87.39,0.0,2.3302,1.1521,2.2923,0.0
2025-11-21 13:42:30,Actions - Devil's Words_bass.wav,AUDIO (.wav),33903.2422,0.0235,106.59,82.9,0.0,3.4212,1.559,3.3216,30.7656
2025-11-21 13:42:35,Actions - Devil's Words_drums.wav,AUDIO (.wav),33903.2422,0.0235,106.6,84.32,0.0,2.7596,1.4497,2.7181,0.0
2025-11-21 13:42:40,Actions - Devil's Words_mixture.wav,AUDIO (.wav),33903.2422,0.0235,106.6,90.24,0.0,2.5204,1.4331,2.6927,30.7656
2025-11-21 13:42:44,Actions - Devil's Words_other.wav,AUDIO (.wav),33903.2422,0.0235,106.59,84.55,0.0,3.2659,1.611,3.3709,0.0
2025-11-21 13:42:49,Actions - One Minute Smile_drums.wav,AUDIO (.wav),28177.8945,0.0282,105.81,83.65,0.0,2.6901,1.175,2.2099,0.0
2025-11-21 13:42:53,Actions - Devil's Words_vocals.wav,AUDIO (.wav),33903.2422,0.0235,106.6,84.84,0.0,3.6228,2.2613,3.3519,30.7656
2025-11-21 13:43:00,Actions - One Minute Smile_bass.wav,AUDIO (.wav),28177.8945,0.0282,105.81,77.65,0.0,1.9812,1.1678,2.1492,0.0
2025-11-21 13:43:03,Actions - One Minute Smile_other.wav,AUDIO (.wav),28177.8945,0.0282,105.81,84.94,0.0,2.5157,1.2616,2.3186,0.0
2025-11-21 13:43:07,Actions - One Minute Smile_mixture.wav,AUDIO (.wav),28177.8945,0.0283,105.78,89.61,0.0,2.4779,1.478,2.429,0.0
2025-11-21 13:43:11,Actions - One Minute Smile_vocals.wav,AUDIO (.wav),28177.8945,0.0282,105.8,85.0,0.0,2.5475,1.1412,2.3771,0.0
2025-11-21 13:43:15,Actions - South Of The Water_drums.wav,AUDIO (.wav),30457.1016,0.0262,106.13,81.24,0.0,2.9751,1.7412,2.666,0.0
2025-11-21 13:43:20,Actions - South Of The Water_mixture.wav,AUDIO (.wav),30457.1016,0.0261,106.14,88.95,0.0,2.2471,1.6589,2.7094,0.0
2025-11-21 13:43:25,Actions - South Of The Water_bass.wav,AUDIO (.wav),30457.1016,0.0261,106.14,84.15,0.0,2.5486,1.5004,2.7337,0.0
2025-11-21 13:43:29,Actions - South Of The Water_other.wav,AUDIO (.wav),30457.1016,0.0262,106.13,82.17,0.0,2.6458,1.3071,2.3707,0.0
2025-11-21 13:43:33,Aimee Norwich - Child_drums.wav,AUDIO (.wav),32604.6602,0.0244,106.43,83.82,0.0,3.94,2.1962,3.351,0.0
2025-11-21 13:43:40,Aimee Norwich - Child_bass.wav,AUDIO (.wav),32604.6602,0.0244,106.43,88.06,0.0,4.1737,1.3195,2.5706,0.0
2025-11-21 13:43:46,Actions - South Of The Water_vocals.wav,AUDIO (.wav),30457.1016,0.0261,106.14,83.59,0.0,2.449,1.2517,2.4038,0.0
2025-11-21 13:43:50,Aimee Norwich - Child_other.wav,AUDIO (.wav),32604.6602,0.0245,106.43,80.09,0.0,3.5891,1.644,3.1916,0.0
2025-11-21 13:43:55,Aimee Norwich - Child_vocals.wav,AUDIO (.wav),32604.6602,0.0244,106.43,78.7,0.0,2.5249,1.4212,2.6736,0.0
2025-11-21 13:43:59,Aimee Norwich - Child_mixture.wav,AUDIO (.wav),32604.6602,0.0245,106.42,90.22,0.0,3.5904,2.3547,3.2556,0.0
2025-11-21 13:44:06,Alexander Ross - Goodbye Bolero_bass.wav,AUDIO (.wav),72147.7734,0.011,109.88,80.31,0.0,5.8689,3.3132,6.4659,19.6797
2025-11-21 13:44:15,Alexander Ross - Goodbye Bolero_drums.wav,AUDIO (.wav),72147.7734,0.0111,109.87,80.71,0.0,5.7426,3.4525,6.1344,0.0
2025-11-21 13:44:25,Alexander Ross - Goodbye Bolero_mixture.wav,AUDIO (.wav),72147.7734,0.0111,109.87,89.68,0.0,5.6186,3.7385,6.9871,0.0
2025-11-21 13:44:35,Alexander Ross - Goodbye Bolero_other.wav,AUDIO (.wav),72147.7734,0.0111,109.87,86.8,0.0,4.5721,3.9676,6.5171,0.0
2025-11-21 13:44:44,Alexander Ross - Velvet Curtain_bass.wav,AUDIO (.wav),88628.6797,0.009,110.77,76.37,0.0,5.4433,3.9736,7.3675,5.0312
2025-11-21 13:44:55,Alexander Ross - Goodbye Bolero_vocals.wav,AUDIO (.wav),72147.7734,0.0111,109.87,83.54,0.0,5.3226,3.2989,6.3326,0.0
2025-11-21 13:45:04,Alexander Ross - Velvet Curtain_drums.wav,AUDIO (.wav),88628.6797,0.009,110.78,74.4,0.0,6.4708,4.0021,8.2527,0.0
2025-11-21 13:45:15,Alexander Ross - Velvet Curtain_mixture.wav,AUDIO (.wav),88628.6797,0.009,110.78,82.38,0.0,6.9577,4.7601,8.2043,0.0
2025-11-21 13:45:28,Alexander Ross - Velvet Curtain_other.wav,AUDIO (.wav),88628.6797,0.009,110.78,77.58,0.0,5.515,4.8755,8.1797,0.0
2025-11-21 13:45:39,Angela Thomas Wade - Milk Cow Blues_bass.wav,AUDIO (.wav),36363.4727,0.022,106.89,78.52,0.0,2.6063,1.4468,2.7195,8.457
2025-11-21 13:45:43,Alexander Ross - Velvet Curtain_vocals.wav,AUDIO (.wav),88628.6797,0.009,110.77,76.6,0.0,6.9294,4.1239,8.1693,0.0
2025-11-21 13:45:55,Angela Thomas Wade - Milk Cow Blues_drums.wav,AUDIO (.wav),36363.4727,0.0219,106.9,81.94,0.0,2.7266,1.4502,2.7619,0.0
2025-11-21 13:45:59,Angela Thomas Wade - Milk Cow Blues_other.wav,AUDIO (.wav),36363.4727,0.0219,106.9,83.16,0.0,3.6924,1.9229,3.6993,33.168
2025-11-21 13:46:05,Angela Thomas Wade - Milk Cow Blues_mixture.wav,AUDIO (.wav),36363.4727,0.022,106.89,87.25,0.0,2.4701,1.4877,2.8554,0.0
2025-11-21 13:46:09,Atlantis Bound - It Was My Fault For Waiting_bass.wav,AUDIO (.wav),46207.9883,0.0172,107.95,80.01,0.0,3.3946,2.3871,4.1543,42.7812
2025-11-21 13:46:16,Angela Thomas Wade - Milk Cow Blues_vocals.wav,AUDIO (.wav),36363.4727,0.0219,106.91,79.97,0.0,3.0068,2.1377,2.9274,0.0
2025-11-21 13:46:21,Atlantis Bound - It Was My Fault For Waiting_drums.wav,AUDIO (.wav),46207.9883,0.0172,107.95,83.91,0.0,3.177,2.0983,3.7625,42.7812
2025-11-21 13:46:27,Atlantis Bound - It Was My Fault For Waiting_mixture.wav,AUDIO (.wav),46207.9883,0.0172,107.95,87.48,0.0,4.3426,2.04,4.09,0.0
2025-11-21 13:46:34,Atlantis Bound - It Was My Fault For Waiting_vocals.wav,AUDIO (.wav),46207.9883,0.0172,107.95,80.83,0.0,3.5209,1.9904,3.6765,42.7812
2025-11-21 13:46:40,Atlantis Bound - It Was My Fault For Waiting_other.wav,AUDIO (.wav),46207.9883,0.0172,107.95,79.72,0.0,4.1709,1.9708,4.245,0.0
2025-11-21 13:46:46,Auctioneer - Our Future Faces_drums.wav,AUDIO (.wav),35811.043,0.0223,106.83,78.94,0.0,2.9504,1.4596,2.7264,32.6289
2025-11-21 13:46:51,Auctioneer - Our Future Faces_bass.wav,AUDIO (.wav),35811.043,0.0222,106.84,85.36,0.0,3.5302,2.1769,3.8767,0.0
2025-11-21 13:46:57,Auctioneer - Our Future Faces_other.wav,AUDIO (.wav),35811.043,0.0222,106.84,83.49,0.0,2.48,1.5817,2.8447,32.6289
2025-11-21 13:47:01,Auctioneer - Our Future Faces_mixture.wav,AUDIO (.wav),35811.043,0.0222,106.84,89.06,0.0,3.1419,1.494,2.8271,0.0
2025-11-21 13:47:06,AvaLuna - Waterduct_bass.wav,AUDIO (.wav),44669.4102,0.0178,107.8,82.3,0.0,3.845,2.0091,3.9324,40.3984
2025-11-21 13:47:13,Auctioneer - Our Future Faces_vocals.wav,AUDIO (.wav),35811.043,0.0223,106.83,82.16,0.0,2.4707,1.5648,2.7363,0.0
2025-11-21 13:47:17,AvaLuna - Waterduct_mixture.wav,AUDIO (.wav),44669.4102,0.0179,107.79,86.31,0.0,4.3518,2.1373,4.3739,41.2812
2025-11-21 13:47:24,AvaLuna - Waterduct_drums.wav,AUDIO (.wav),44669.4102,0.0179,107.79,81.3,0.0,3.0162,1.8553,3.4548,0.0
2025-11-21 13:47:29,AvaLuna - Waterduct_vocals.wav,AUDIO (.wav),44669.4102,0.0178,107.81,78.0,0.0,4.7144,2.3189,4.3165,41.2656
2025-11-21 13:47:37,AvaLuna - Waterduct_other.wav,AUDIO (.wav),44669.4102,0.0178,107.79,77.6,0.0,3.0107,1.8681,3.4167,0.0
2025-11-21 13:47:42,BigTroubles - Phantom_bass.wav,AUDIO (.wav),25312.043,0.0314,105.33,87.99,0.0,2.6426,1.2328,2.0735,0.0
2025-11-21 13:47:46,BigTroubles - Phantom_mixture.wav,AUDIO (.wav),25312.043,0.0315,105.32,90.39,0.0,2.5978,1.0557,2.2959,0.0
2025-11-21 13:47:50,BigTroubles - Phantom_other.wav,AUDIO (.wav),25312.043,0.0315,105.32,83.28,0.0,2.3882,1.0455,2.0303,0.0
2025-11-21 13:47:54,BigTroubles - Phantom_vocals.wav,AUDIO (.wav),25312.043,0.0315,105.32,81.28,0.0,2.2345,1.146,2.0721,0.0
2025-11-21 13:47:57,BigTroubles - Phantom_drums.wav,AUDIO (.wav),25312.043,0.0315,105.32,80.85,0.0,2.9072,1.7992,2.9241,0.0
2025-11-21 13:48:02,Bill Chudziak - Children Of No-one_bass.wav,AUDIO (.wav),39781.8672,0.02,107.3,77.62,0.0,2.7738,1.7406,3.2642,36.4648
2025-11-21 13:48:07,Bill Chudziak - Children Of No-one_drums.wav,AUDIO (.wav),39781.8672,0.02,107.29,80.74,0.0,2.4712,1.6561,3.0494,0.0
2025-11-21 13:48:12,Bill Chudziak - Children Of No-one_vocals.wav,AUDIO (.wav),39781.8672,0.0201,107.28,80.31,0.0,3.2543,1.7277,3.7831,36.5078
2025-11-21 13:48:17,Bill Chudziak - Children Of No-one_mixture.wav,AUDIO (.wav),39781.8672,0.0201,107.28,86.59,0.0,3.0401,1.7116,3.1242,0.0
2025-11-21 13:48:22,Bill Chudziak - Children Of No-one_other.wav,AUDIO (.wav),39781.8672,0.02,107.29,82.48,0.0,2.7993,2.6466,3.9306,36.5078
2025-11-21 13:48:28,Black Bloc - If You Want Success_bass.wav,AUDIO (.wav),68687.8867,0.0116,109.66,80.21,0.0,4.7005,2.857,5.701,0.0
2025-11-21 13:48:36,Black Bloc - If You Want Success_drums.wav,AUDIO (.wav),68687.8867,0.0116,109.65,88.31,0.0,10.6615,2.9093,9.7506,0.0
2025-11-21 13:48:50,Black Bloc - If You Want Success_mixture.wav,AUDIO (.wav),68687.8867,0.0116,109.66,90.49,0.0,3.9811,4.2411,6.2137,0.0
2025-11-21 13:48:59,Black Bloc - If You Want Success_other.wav,AUDIO (.wav),68687.8867,0.0116,109.66,82.4,0.0,4.6708,2.8341,5.2156,0.0
2025-11-21 13:49:07,Black Bloc - If You Want Success_vocals.wav,AUDIO (.wav),68687.8867,0.0116,109.67,82.1,0.0,4.8867,3.012,6.3125,0.0
2025-11-21 13:49:16,Celestial Shore - Die For Us_bass.wav,AUDIO (.wav),48005.9922,0.0166,108.11,85.38,0.0,3.5015,2.0375,3.7006,8.0234
2025-11-21 13:49:21,Celestial Shore - Die For Us_mixture.wav,AUDIO (.wav),48005.9922,0.0166,108.1,91.6,0.0,3.6858,1.9404,4.0827,0.0
2025-11-21 13:49:27,Celestial Shore - Die For Us_drums.wav,AUDIO (.wav),48005.9922,0.0166,108.1,69.73,0.0,3.4017,2.1019,3.8537,44.5391
2025-11-21 13:49:33,Celestial Shore - Die For Us_other.wav,AUDIO (.wav),48005.9922,0.0166,108.11,88.02,0.0,4.135,2.0578,4.5235,0.0
2025-11-21 13:49:40,Chris Durban - Celebrate_bass.wav,AUDIO (.wav),51987.3477,0.0153,108.47,85.6,0.0,3.4703,2.2724,4.1027,48.4258
2025-11-21 13:49:46,Celestial Shore - Die For Us_vocals.wav,AUDIO (.wav),48005.9922,0.0166,108.1,86.61,0.0,4.5821,2.019,4.4623,0.0
2025-11-21 13:49:54,Chris Durban - Celebrate_mixture.wav,AUDIO (.wav),51987.3477,0.0154,108.43,89.96,0.0,2.9498,2.1625,3.913,48.4258
2025-11-21 13:49:59,Chris Durban - Celebrate_drums.wav,AUDIO (.wav),51987.3477,0.0154,108.44,83.58,0.0,4.9766,2.1427,4.5784,0.0
2025-11-21 13:50:07,Chris Durban - Celebrate_other.wav,AUDIO (.wav),51987.3477,0.0154,108.44,84.47,0.0,3.6505,2.2784,4.0863,48.4258
