Timestamp,Filename,Type,OriginalFileSize_KB,MSE,PSNR,SNR,BER,EmbeddingTime_s,DecodingTime_s,CPU_Time_s,Memory_Increase_MB
2025-11-20 18:45:20,A Classic Education - NightOwl_bass.wav,IMAGE (.jpg),29533.293,0.0205,107.19,89.76,0.0,1.5292,1.0552,2.0956,5.7109
2025-11-20 18:45:23,A Classic Education - NightOwl_mixture.wav,IMAGE (.jpg),29533.293,0.0205,107.18,91.24,0.0,1.128,1.0918,1.9943,0.0
2025-11-20 18:45:25,A Classic Education - NightOwl_drums.wav,IMAGE (.jpg),29533.293,0.0205,107.19,72.18,0.0,1.6507,1.7094,2.9894,0.0
2025-11-20 18:45:29,A Classic Education - NightOwl_vocals.wav,IMAGE (.jpg),29533.293,0.0205,107.18,81.17,0.0,1.1402,1.0837,1.9922,0.0
2025-11-20 18:45:31,A Classic Education - NightOwl_other.wav,IMAGE (.jpg),29533.293,0.0205,107.19,83.84,0.0,1.1818,1.0944,2.0367,0.0
2025-11-20 18:45:34,ANiMAL - Clinic A_bass.wav,IMAGE (.jpg),41007.7227,0.0147,108.64,87.4,0.0,1.6171,1.5606,2.8516,38.8555
2025-11-20 18:45:38,ANiMAL - Clinic A_drums.wav,IMAGE (.jpg),41007.7227,0.0148,108.62,80.11,0.0,2.6576,2.0796,3.7625,0.0
2025-11-20 18:45:43,ANiMAL - Clinic A_other.wav,IMAGE (.jpg),41007.7227,0.0147,108.64,85.22,0.0,2.3207,1.5422,2.864,38.8555
2025-11-20 18:45:47,ANiMAL - Clinic A_mixture.wav,IMAGE (.jpg),41007.7227,0.0147,108.63,90.85,0.0,2.312,1.4983,2.8009,0.0
2025-11-20 18:45:51,ANiMAL - Easy Tiger_bass.wav,IMAGE (.jpg),35427.8281,0.0171,107.97,84.08,0.0,2.5831,1.6868,3.3101,33.4062
2025-11-20 18:45:55,ANiMAL - Clinic A_vocals.wav,IMAGE (.jpg),41007.7227,0.0147,108.63,83.63,0.0,1.9551,1.5085,2.7996,5.4414
2025-11-20 18:45:59,ANiMAL - Easy Tiger_drums.wav,IMAGE (.jpg),35427.8281,0.0171,107.98,84.98,0.0,2.4145,1.2998,2.3633,0.0
2025-11-20 18:46:03,ANiMAL - Easy Tiger_mixture.wav,IMAGE (.jpg),35427.8281,0.0171,107.97,89.51,0.0,1.8653,2.0065,3.1132,33.4062
2025-11-20 18:46:07,ANiMAL - Easy Tiger_vocals.wav,IMAGE (.jpg),35427.8281,0.0171,107.99,83.13,0.0,1.761,1.2882,2.4009,0.0
2025-11-20 18:46:11,ANiMAL - Easy Tiger_other.wav,IMAGE (.jpg),35427.8281,0.0171,107.97,81.24,0.0,2.2826,1.2573,2.3873,33.4062
2025-11-20 18:46:15,ANiMAL - Rockshow_bass.wav,IMAGE (.jpg),28543.8398,0.0212,107.05,84.98,0.0,1.6351,1.0274,1.8897,0.0
2025-11-20 18:46:18,ANiMAL - Rockshow_other.wav,IMAGE (.jpg),28543.8398,0.0213,107.03,78.93,0.0,2.2338,1.3046,2.6073,0.0
2025-11-20 18:46:21,ANiMAL - Rockshow_drums.wav,IMAGE (.jpg),28543.8398,0.0212,107.04,83.26,0.0,1.854,1.0476,1.9301,0.0
2025-11-20 18:46:24,ANiMAL - Rockshow_vocals.wav,IMAGE (.jpg),28543.8398,0.0212,107.04,80.81,0.0,1.6422,1.066,1.9525,0.0
2025-11-20 18:46:27,ANiMAL - Rockshow_mixture.wav,IMAGE (.jpg),28543.8398,0.0212,107.04,88.58,0.0,1.4107,1.0429,1.9401,0.0
2025-11-20 18:46:30,Actions - Devil's Words_bass.wav,IMAGE (.jpg),33903.2422,0.0179,107.78,84.08,0.0,2.448,1.5749,3.0558,31.918
2025-11-20 18:46:34,Actions - Devil's Words_drums.wav,IMAGE (.jpg),33903.2422,0.0178,107.8,85.52,0.0,1.2934,1.1992,2.2055,0.0
2025-11-20 18:46:37,Actions - Devil's Words_mixture.wav,IMAGE (.jpg),33903.2422,0.0179,107.78,91.43,0.0,1.6868,1.2463,2.2794,31.918
2025-11-20 18:46:40,Actions - Devil's Words_other.wav,IMAGE (.jpg),33903.2422,0.0178,107.79,85.76,0.0,1.7203,1.2031,2.2281,0.0
2025-11-20 18:46:43,Actions - One Minute Smile_drums.wav,IMAGE (.jpg),28177.8945,0.0214,107.0,84.84,0.0,2.6745,1.0222,2.3044,0.0
2025-11-20 18:46:47,Actions - Devil's Words_vocals.wav,IMAGE (.jpg),33903.2422,0.0179,107.79,86.03,0.0,1.7949,1.2064,2.2613,31.918
2025-11-20 18:46:51,Actions - One Minute Smile_bass.wav,IMAGE (.jpg),28177.8945,0.0215,106.98,78.83,0.0,2.1219,1.0223,1.8681,0.0
2025-11-20 18:46:54,Actions - One Minute Smile_other.wav,IMAGE (.jpg),28177.8945,0.0215,106.99,86.12,0.0,1.6817,1.5532,2.316,0.0
2025-11-20 18:46:58,Actions - One Minute Smile_mixture.wav,IMAGE (.jpg),28177.8945,0.0214,107.0,90.82,0.0,1.758,1.01,2.1984,0.0
2025-11-20 18:47:01,Actions - One Minute Smile_vocals.wav,IMAGE (.jpg),28177.8945,0.0215,106.98,86.18,0.0,1.4237,2.3319,3.1832,0.0
2025-11-20 18:47:05,Actions - South Of The Water_drums.wav,IMAGE (.jpg),30457.1016,0.0198,107.34,82.45,0.0,2.5169,1.5612,2.9824,0.0
2025-11-20 18:47:09,Actions - South Of The Water_mixture.wav,IMAGE (.jpg),30457.1016,0.0198,107.33,90.14,0.0,2.0639,1.465,2.8322,0.0
2025-11-20 18:47:13,Actions - South Of The Water_bass.wav,IMAGE (.jpg),30457.1016,0.0198,107.34,85.34,0.0,1.5528,1.1008,2.0359,0.0
2025-11-20 18:47:16,Actions - South Of The Water_other.wav,IMAGE (.jpg),30457.1016,0.0198,107.35,83.39,0.0,2.2102,1.1018,2.0599,0.0
2025-11-20 18:47:19,Aimee Norwich - Child_drums.wav,IMAGE (.jpg),32604.6602,0.0185,107.63,85.02,0.0,1.7353,1.2011,2.2084,0.0
2025-11-20 18:47:23,Aimee Norwich - Child_bass.wav,IMAGE (.jpg),32604.6602,0.0185,107.63,89.26,0.0,2.4926,1.1748,2.6673,0.0
2025-11-20 18:47:26,Actions - South Of The Water_vocals.wav,IMAGE (.jpg),30457.1016,0.0199,107.33,84.78,0.0,1.6617,1.065,1.9989,0.0
2025-11-20 18:47:29,Aimee Norwich - Child_other.wav,IMAGE (.jpg),32604.6602,0.0185,107.63,81.29,0.0,2.1149,1.1368,2.1447,0.0
2025-11-20 18:47:33,Aimee Norwich - Child_vocals.wav,IMAGE (.jpg),32604.6602,0.0185,107.63,79.9,0.0,1.7881,1.7177,2.7095,0.0
2025-11-20 18:47:37,Aimee Norwich - Child_mixture.wav,IMAGE (.jpg),32604.6602,0.0186,107.62,91.42,0.0,2.3901,1.1838,2.1706,0.0
2025-11-20 18:47:41,Alexander Ross - Goodbye Bolero_bass.wav,IMAGE (.jpg),72147.7734,0.0084,111.08,81.5,0.0,3.5143,2.7215,5.1073,20.832
2025-11-20 18:47:47,Alexander Ross - Goodbye Bolero_drums.wav,IMAGE (.jpg),72147.7734,0.0084,111.08,81.92,0.0,4.3733,2.685,5.4184,0.0
2025-11-20 18:47:55,Alexander Ross - Goodbye Bolero_mixture.wav,IMAGE (.jpg),72147.7734,0.0084,111.07,90.87,0.0,3.2896,2.9959,5.2632,0.0
2025-11-20 18:48:02,Alexander Ross - Goodbye Bolero_other.wav,IMAGE (.jpg),72147.7734,0.0084,111.07,87.99,0.0,4.0678,2.7465,5.0041,0.0
2025-11-20 18:48:09,Alexander Ross - Velvet Curtain_bass.wav,IMAGE (.jpg),88628.6797,0.0068,111.98,77.58,0.0,4.5685,4.2946,7.0363,5.0391
2025-11-20 18:48:19,Alexander Ross - Goodbye Bolero_vocals.wav,IMAGE (.jpg),72147.7734,0.0084,111.06,84.73,0.0,4.0672,3.1403,5.3654,0.0
2025-11-20 18:48:27,Alexander Ross - Velvet Curtain_drums.wav,IMAGE (.jpg),88628.6797,0.0068,111.98,75.6,0.0,5.4507,3.3962,6.2749,0.0
