Timestamp,Filename,Type,OriginalFileSize_KB,MSE,PSNR,SNR,BER,EmbeddingTime_s,DecodingTime_s,CPU_Time_s,Memory_Increase_MB
2025-11-20 19:43:37,A Classic Education - NightOwl_bass.wav,TEXT/BIN,29533.293,0.0,139.9,122.47,0.0,1.7201,1.0684,1.9619,0.0
2025-11-20 19:43:40,A Classic Education - NightOwl_mixture.wav,TEXT/BIN,29533.293,0.0,140.77,124.83,0.0,2.3584,1.6509,2.9036,0.0
2025-11-20 19:43:44,A Classic Education - NightOwl_drums.wav,TEXT/BIN,29533.293,0.0,139.41,104.4,0.0,1.4861,1.0664,1.9392,0.0
2025-11-20 19:43:47,A Classic Education - NightOwl_vocals.wav,TEXT/BIN,29533.293,0.0,140.46,114.45,0.0,1.6414,1.1153,1.9782,0.0
2025-11-20 19:43:50,A Classic Education - NightOwl_other.wav,TEXT/BIN,29533.293,0.0,139.5,116.16,0.0,1.9797,1.0539,1.9148,0.0
2025-11-20 19:43:53,ANiMAL - Clinic A_bass.wav,TEXT/BIN,41007.7227,0.0,141.43,120.2,0.0,2.8889,1.7667,3.6167,39.9141
2025-11-20 19:43:58,ANiMAL - Clinic A_drums.wav,TEXT/BIN,41007.7227,0.0,141.17,112.66,0.0,9.1625,2.32,8.7718,0.0
2025-11-20 19:44:11,ANiMAL - Clinic A_other.wav,TEXT/BIN,41007.7227,0.0,141.17,117.75,0.0,2.4426,1.5618,2.8529,39.9219
2025-11-20 19:44:15,ANiMAL - Clinic A_mixture.wav,TEXT/BIN,41007.7227,0.0,141.89,124.11,0.0,2.1604,1.4754,2.7248,0.0
2025-11-20 19:44:19,ANiMAL - Easy Tiger_bass.wav,TEXT/BIN,35427.8281,0.0,140.44,116.56,0.0,2.1238,1.8826,2.97,34.4648
2025-11-20 19:44:24,ANiMAL - Clinic A_vocals.wav,TEXT/BIN,41007.7227,0.0,141.83,116.83,0.0,2.5157,1.4585,2.7848,5.4414
2025-11-20 19:44:28,ANiMAL - Easy Tiger_drums.wav,TEXT/BIN,35427.8281,0.0,141.5,118.49,0.0,1.9337,1.38,2.4376,0.0
2025-11-20 19:44:31,ANiMAL - Easy Tiger_mixture.wav,TEXT/BIN,35427.8281,0.0,140.44,121.97,0.0,1.7276,1.3575,2.4123,34.4648
2025-11-20 19:44:35,ANiMAL - Easy Tiger_vocals.wav,TEXT/BIN,35427.8281,0.0,140.54,115.69,0.0,2.5481,1.4951,3.0918,0.0
2025-11-20 19:44:39,ANiMAL - Easy Tiger_other.wav,TEXT/BIN,35427.8281,0.0,140.85,114.12,0.0,1.9863,1.3934,2.3861,34.4648
2025-11-20 19:44:43,ANiMAL - Rockshow_bass.wav,TEXT/BIN,28543.8398,0.0,139.4,117.33,0.0,1.6929,1.0346,1.9158,0.0
2025-11-20 19:44:46,ANiMAL - Rockshow_other.wav,TEXT/BIN,28543.8398,0.0,140.95,112.85,0.0,1.8475,1.5794,2.5656,0.0
2025-11-20 19:44:50,ANiMAL - Rockshow_drums.wav,TEXT/BIN,28543.8398,0.0,139.65,115.87,0.0,1.913,1.1241,2.0061,0.0
2025-11-20 19:44:53,ANiMAL - Rockshow_vocals.wav,TEXT/BIN,28543.8398,0.0,140.08,113.85,0.0,1.6374,1.0624,1.9752,0.0
2025-11-20 19:44:56,ANiMAL - Rockshow_mixture.wav,TEXT/BIN,28543.8398,0.0,139.36,120.9,0.0,1.5946,1.0262,1.936,0.0
2025-11-20 19:44:59,Actions - Devil's Words_bass.wav,TEXT/BIN,33903.2422,0.0,140.56,116.86,0.0,1.9874,1.8639,2.9516,32.9766
2025-11-20 19:45:03,Actions - Devil's Words_drums.wav,TEXT/BIN,33903.2422,0.0,140.83,118.55,0.0,1.7331,1.2823,2.3106,0.0
2025-11-20 19:45:06,Actions - Devil's Words_mixture.wav,TEXT/BIN,33903.2422,0.0,140.4,124.04,0.0,1.7515,1.2112,2.2764,32.9766
2025-11-20 19:45:09,Actions - Devil's Words_other.wav,TEXT/BIN,33903.2422,0.0,140.35,118.31,0.0,1.9682,1.2235,2.3628,0.0
2025-11-20 19:45:13,Actions - One Minute Smile_drums.wav,TEXT/BIN,28177.8945,0.0,140.03,117.87,0.0,2.2485,1.5806,2.7821,0.0
2025-11-20 19:45:17,Actions - Devil's Words_vocals.wav,TEXT/BIN,33903.2422,0.0,141.0,119.24,0.0,2.0699,1.2449,2.2952,32.9766
2025-11-20 19:45:21,Actions - One Minute Smile_bass.wav,TEXT/BIN,28177.8945,0.0,139.6,111.44,0.0,1.6782,1.0007,1.864,0.0
2025-11-20 19:45:23,Actions - One Minute Smile_other.wav,TEXT/BIN,28177.8945,0.0,139.6,118.73,0.0,1.7044,1.0451,1.9314,0.0
2025-11-20 19:45:27,Actions - One Minute Smile_mixture.wav,TEXT/BIN,28177.8945,0.0,140.03,123.85,0.0,2.2999,1.0723,2.3092,0.0
2025-11-20 19:45:30,Actions - One Minute Smile_vocals.wav,TEXT/BIN,28177.8945,0.0,139.25,118.45,0.0,1.2827,1.021,1.8536,0.0
2025-11-20 19:45:33,Actions - South Of The Water_drums.wav,TEXT/BIN,30457.1016,0.0,140.31,115.42,0.0,1.5661,1.2359,2.116,0.0
2025-11-20 19:45:36,Actions - South Of The Water_mixture.wav,TEXT/BIN,30457.1016,0.0,139.78,122.59,0.0,1.7194,1.1037,2.0703,0.0
2025-11-20 19:45:39,Actions - South Of The Water_bass.wav,TEXT/BIN,30457.1016,0.0,140.36,118.37,0.0,2.4024,1.4241,2.7883,0.0
2025-11-20 19:45:43,Actions - South Of The Water_other.wav,TEXT/BIN,30457.1016,0.0,140.31,116.35,0.0,1.8449,1.1005,2.0703,0.0
2025-11-20 19:45:46,Aimee Norwich - Child_drums.wav,TEXT/BIN,32604.6602,0.0,140.08,117.47,0.0,2.2907,1.1538,2.1805,0.0
2025-11-20 19:45:50,Aimee Norwich - Child_bass.wav,TEXT/BIN,32604.6602,0.0,141.14,122.76,0.0,2.8824,1.7754,2.8495,0.0
2025-11-20 19:45:55,Actions - South Of The Water_vocals.wav,TEXT/BIN,30457.1016,0.0,140.25,117.7,0.0,1.6725,1.104,2.0468,0.0
2025-11-20 19:45:58,Aimee Norwich - Child_other.wav,TEXT/BIN,32604.6602,0.0,140.33,114.0,0.0,1.9906,1.1736,2.2069,0.0
2025-11-20 19:46:01,Aimee Norwich - Child_vocals.wav,TEXT/BIN,32604.6602,0.0,139.7,111.97,0.0,1.794,1.1826,2.194,0.0
