Timestamp,Filename,OriginalFileSize_KB,MSE,PSNR,SNR,BER,EmbeddingTime_s,DecodingTime_s,CPU_Time_s,Memory_Increase_MB
2025-10-09 12:34:07,AM Contra - Heart Peripheral_bass.wav,36194.0430,0.0000,141.9841,115.5498,0.0000,0.3021,0.0741,0.1200,106.1027
2025-10-09 12:34:07,AM Contra - Heart Peripheral_drums.wav,36194.0430,0.0000,141.9841,119.9382,0.0000,0.2736,0.0673,0.1100,106.1025
2025-10-09 12:34:08,AM Contra - Heart Peripheral_mixture.wav,36194.0430,0.0000,141.7821,123.6467,0.0000,0.3037,0.0672,0.1200,106.1026
2025-10-09 12:34:09,AM Contra - Heart Peripheral_other.wav,36194.0430,0.0000,141.9841,117.3057,0.0000,1.0243,0.0502,0.1100,106.1027
2025-10-09 12:34:10,AM Contra - Heart Peripheral_vocals.wav,36194.0430,0.0000,141.8151,117.1972,0.0000,0.6947,0.0499,0.1100,106.1027
2025-10-09 12:34:12,Al James - Schoolboy Facination_bass.wav,34543.9141,0.0000,141.9215,116.3739,0.0000,1.0712,0.0831,0.1200,101.2685
2025-10-09 12:34:13,Al James - Schoolboy Facination_drums.wav,34543.9141,0.0000,141.9215,114.7189,0.0000,1.0199,0.0538,0.1000,101.2684
2025-10-09 12:34:14,Al James - Schoolboy Facination_mixture.wav,34543.9141,0.0000,141.9215,122.8422,0.0000,1.0605,0.0465,0.1200,101.2683
2025-10-09 12:34:16,Al James - Schoolboy Facination_other.wav,34543.9141,0.0000,141.9215,115.6149,0.0000,1.7188,0.0463,0.1000,101.2683
2025-10-09 12:34:17,Al James - Schoolboy Facination_vocals.wav,34543.9141,0.0000,141.9215,119.1519,0.0000,1.0042,0.0696,0.1100,101.2683
2025-10-09 12:34:18,Angels In Amplifiers - I'm Alright_bass.wav,30937.8711,0.0000,141.9721,115.1393,0.0000,0.2312,0.0433,0.1100,90.7056
2025-10-09 12:34:19,Angels In Amplifiers - I'm Alright_drums.wav,30937.8711,0.0000,141.3372,115.6557,0.0000,1.1498,0.0556,0.1000,90.7038
2025-10-09 12:34:21,Angels In Amplifiers - I'm Alright_mixture.wav,30937.8711,0.0000,140.9709,122.8562,0.0000,0.9168,0.0585,0.0900,90.7038
2025-10-09 12:34:22,Angels In Amplifiers - I'm Alright_other.wav,30937.8711,0.0000,141.9721,119.4267,0.0000,0.4543,0.0539,0.0800,90.7036
2025-10-09 12:34:22,Angels In Amplifiers - I'm Alright_vocals.wav,30937.8711,0.0000,141.9721,119.0773,0.0000,0.2057,0.0343,0.0700,90.7056
2025-10-09 12:34:23,Arise - Run Run Run_bass.wav,37793.8906,0.0000,142.3120,121.6903,0.0000,0.6267,0.0416,0.1000,110.7898
2025-10-09 12:34:24,Arise - Run Run Run_drums.wav,37793.8906,0.0000,142.3120,116.7795,0.0000,0.9478,0.0772,0.1200,110.7898
2025-10-09 12:34:26,Arise - Run Run Run_mixture.wav,37793.8906,0.0000,142.3120,126.0944,0.0000,1.1950,0.0503,0.1200,110.7898
