Timestamp,Filename,OriginalFileSize_KB,MSE,PSNR,SNR,BER,NC,EmbeddingTime_s,DecodingTime_s,CPU_Time_s,Memory_Increase_MB
2025-10-12 18:27:48,A Classic Education - NightOwl_bass.wav,29533.2930,0.0067,21.7373,4.0735,0.0000,1.0000,1.2862,2.2658,3.4600,326.7899
2025-10-12 18:27:53,A Classic Education - NightOwl_mixture.wav,29533.2930,0.0055,22.5886,6.6366,0.0000,1.0000,1.4336,3.4795,4.6900,326.7899
2025-10-12 18:27:57,A Classic Education - NightOwl_drums.wav,29533.2930,0.0000,44.8937,11.6207,0.0000,1.0000,1.3231,2.2371,3.4600,326.7898
2025-10-12 18:28:01,A Classic Education - NightOwl_vocals.wav,29533.2930,0.0002,36.7150,10.4516,0.0000,1.0000,1.3038,2.2368,3.4400,326.7899
2025-10-12 18:28:07,A Classic Education - NightOwl_other.wav,29533.2930,0.0006,32.5467,9.9525,0.0000,1.0000,1.2942,3.9130,4.9700,326.7898
2025-10-12 18:28:11,ANiMAL - Clinic A_bass.wav,41007.7227,0.0043,23.6856,3.1020,0.0000,1.0000,1.8443,2.2616,3.9700,450.5400
2025-10-12 18:28:16,ANiMAL - Clinic A_drums.wav,41007.7227,0.0001,39.4326,12.2612,0.0000,1.0000,1.8374,2.2653,3.9600,450.5399
2025-10-12 18:28:22,ANiMAL - Clinic A_other.wav,41007.7227,0.0021,26.6878,4.1829,0.0000,1.0000,2.2104,3.0845,5.0100,450.5400
2025-10-12 18:28:26,ANiMAL - Clinic A_mixture.wav,41007.7227,0.0116,19.3507,2.0913,0.0000,1.0000,1.8628,2.2583,3.9900,450.5399
2025-10-12 18:28:30,ANiMAL - Easy Tiger_bass.wav,35427.8281,0.0042,23.7327,0.0470,0.0000,1.0000,1.4870,2.2456,3.6100,390.0398
2025-10-12 18:28:37,ANiMAL - Clinic A_vocals.wav,41007.7227,0.0014,28.6285,2.6423,0.0000,1.0000,3.7739,2.8044,6.1700,450.5401
2025-10-12 18:28:42,ANiMAL - Easy Tiger_drums.wav,35427.8281,0.0025,26.0703,2.5931,0.0000,1.0000,1.5852,2.2295,3.7100,390.0397
2025-10-12 18:28:46,ANiMAL - Easy Tiger_mixture.wav,35427.8281,0.0099,20.0618,1.7782,0.0000,1.0000,1.5937,2.2825,3.7700,390.0398
2025-10-12 18:28:51,ANiMAL - Easy Tiger_vocals.wav,35427.8281,0.0005,32.6898,7.6893,0.0000,1.0000,1.9434,2.7416,4.4200,390.0401
2025-10-12 18:28:55,ANiMAL - Easy Tiger_other.wav,35427.8281,0.0013,28.8951,3.6775,0.0000,1.0000,1.6158,2.2614,3.7700,390.0398
2025-10-12 18:28:59,ANiMAL - Rockshow_bass.wav,28543.8398,0.0002,36.2112,14.0677,0.0000,1.0000,1.2420,2.2454,3.4000,315.7898
