Timestamp,Filename,OriginalFileSize_KB,MSE,PSNR,SNR,BER,NC,EmbeddingTime_s,DecodingTime_s,CPU_Time_s,Memory_Increase_MB
2025-10-12 17:10:55,A Classic Education - NightOwl_bass.wav,29533.2930,0.0067,21.7403,4.0765,0.0000,1.0000,1.7411,0.0786,1.6100,319.0034
2025-10-12 17:10:57,A Classic Education - NightOwl_mixture.wav,29533.2930,0.0001,39.9667,24.0147,0.0000,1.0000,1.5914,0.0593,1.5000,319.0058
2025-10-12 17:10:58,A Classic Education - NightOwl_drums.wav,29533.2930,0.0016,28.0176,-5.2553,0.0000,1.0000,1.3313,0.0490,1.2700,319.0035
2025-10-12 17:11:00,A Classic Education - NightOwl_vocals.wav,29533.2930,0.0009,30.5814,4.3180,0.0000,1.0000,1.2999,0.0520,1.2400,319.0036
2025-10-12 17:11:02,A Classic Education - NightOwl_other.wav,29533.2930,0.0012,29.3121,6.7179,0.0000,1.0000,1.2868,0.0504,1.2400,319.0035
2025-10-12 17:11:04,ANiMAL - Clinic A_bass.wav,41007.7227,0.0139,18.5841,-1.9995,0.0000,1.0000,1.7589,0.0549,1.6900,442.7533
2025-10-12 17:11:08,ANiMAL - Clinic A_drums.wav,41007.7227,0.0030,25.1708,-2.0006,0.0000,1.0000,2.0984,0.0792,1.9400,442.7557
2025-10-12 17:11:11,ANiMAL - Clinic A_other.wav,41007.7227,0.0058,22.3960,-0.1089,0.0000,1.0000,2.1684,0.0608,2.0100,442.7535
2025-10-12 17:11:14,ANiMAL - Clinic A_mixture.wav,41007.7227,0.0000,69.4086,52.1492,0.0000,1.0000,1.8144,0.0619,1.7600,442.7557
2025-10-12 17:11:18,ANiMAL - Easy Tiger_bass.wav,35427.8281,0.0042,23.7328,0.0472,0.0000,1.0000,1.4869,0.0525,1.4300,382.2556
2025-10-12 17:11:21,ANiMAL - Clinic A_vocals.wav,41007.7227,0.0078,21.0989,-4.8874,0.0000,1.0000,1.8796,0.0741,1.7200,442.7534
2025-10-12 17:11:25,ANiMAL - Easy Tiger_drums.wav,35427.8281,0.0018,27.3816,3.9044,0.0000,1.0000,1.7316,0.0559,1.6400,382.2532
2025-10-12 17:11:28,ANiMAL - Easy Tiger_mixture.wav,35427.8281,0.0000,79.9035,61.6199,0.0000,1.0000,1.6330,0.0524,1.5600,382.2556
2025-10-12 17:11:32,ANiMAL - Easy Tiger_vocals.wav,35427.8281,0.0019,27.1733,2.1727,0.0000,1.0000,1.5988,0.0539,1.5300,382.2556
2025-10-12 17:11:35,ANiMAL - Easy Tiger_other.wav,35427.8281,0.0024,26.2116,0.9941,0.0000,1.0000,1.7721,0.1027,1.6500,382.2556
2025-10-12 17:11:37,ANiMAL - Rockshow_bass.wav,28543.8398,0.0169,17.7104,-4.4332,0.0000,1.0000,1.4979,0.0519,1.3900,308.0057
2025-10-12 17:11:40,ANiMAL - Rockshow_other.wav,28543.8398,0.0042,23.8070,-3.6898,0.0000,1.0000,1.2615,0.0496,1.2300,308.0056
2025-10-12 17:11:42,ANiMAL - Rockshow_drums.wav,28543.8398,0.0008,30.8360,6.8431,0.0000,1.0000,1.2745,0.0459,1.2400,308.0057
2025-10-12 17:11:45,ANiMAL - Rockshow_vocals.wav,28543.8398,0.0009,30.7035,4.0462,0.0000,1.0000,1.2348,0.0440,1.1800,308.0057
2025-10-12 17:11:47,ANiMAL - Rockshow_mixture.wav,28543.8398,0.0000,105.2778,86.7389,0.0000,1.0000,1.3773,0.0624,1.3000,308.0056
2025-10-12 17:11:50,Actions - Devil's Words_bass.wav,33903.2422,0.0300,15.2250,-8.0656,0.0000,1.0000,1.7379,0.0643,1.6000,365.7533
2025-10-12 17:11:53,Actions - Devil's Words_drums.wav,33903.2422,0.0035,24.6050,1.9598,0.0000,1.0000,1.5070,0.0514,1.4500,365.7557
2025-10-12 17:11:56,Actions - Devil's Words_mixture.wav,33903.2422,0.0000,86.5709,70.5215,0.0000,1.0000,1.5317,0.0490,1.4800,365.7557
