Timestamp,CoverFile,SecretFile,Status,Time(s),MSE,PSNR,SNR,Rate(kBps),CPU(%),RAM(MB),Info
13:16:47,6_data_TEST_DR4_FEDW0_SI1084.WAV.wav,2012_000695.jpg,Success,1.4541,0.000000,93.54,56.84,1.8637,11.30,52.55,Rnd_Adaptive_Content
13:16:48,6_data_TEST_DR3_MGJF0_SI641.WAV.wav,2009_003624.jpg,Success,0.9760,0.000000,93.69,56.77,1.7903,10.00,52.36,Rnd_Adaptive_Content
13:16:49,6_data_TEST_DR2_MDLD0_SI913.WAV.wav,2009_004336.jpg,Success,0.6398,0.000000,87.58,53.94,2.9137,79.10,54.13,Rnd_Adaptive_Content
13:16:50,6_data_TEST_DR2_MBJK0_SA2.WAV.wav,2012_003678.jpg,Success,0.6239,0.000000,80.79,40.32,4.8828,65.40,52.66,Rnd_Adaptive_Content
13:16:51,6_data_TEST_DR4_MDLS0_SX188.WAV.wav,2009_001684.png,Success,1.0954,0.000000,81.63,51.29,3.8874,5.80,53.77,Rnd_Adaptive_Content
13:16:52,6_data_TEST_DR4_FDMS0_SA1.WAV.wav,2011_000180.jpg,Success,0.9368,0.000000,81.60,36.47,4.0518,10.80,54.50,Rnd_Adaptive_Content
13:16:53,6_data_TEST_DR3_MGLB0_SX184.WAV.wav,2010_005627.png,Success,0.7903,0.000000,86.81,45.05,3.5155,75.20,53.63,Rnd_Adaptive_Content
13:16:54,6_data_TEST_DR1_MWBT0_SI1553.WAV.wav,2008_005303.jpg,Success,1.1205,0.000000,93.65,60.30,1.8156,12.40,52.68,Rnd_Adaptive_Content
13:16:55,6_data_TEST_DR4_MGMM0_SA1.WAV.wav,2010_000764.jpg,Success,1.4361,0.000000,81.45,44.14,4.1170,6.20,52.62,Rnd_Adaptive_Content
13:16:56,6_data_TEST_DR4_MKCL0_SX281.WAV.wav,2011_005075.jpg,Success,1.1635,0.000000,87.17,54.33,3.1034,5.20,53.86,Rnd_Adaptive_Content
13:16:58,6_data_TEST_DR4_FRNG0_SX185.WAV.wav,2010_004165.jpg,Success,0.9486,0.000000,86.81,58.84,3.4646,14.00,54.11,Rnd_Adaptive_Content
13:16:59,6_data_TEST_DR4_FSEM0_SI568.WAV.wav,2009_003499.jpg,Success,1.0037,0.000000,81.66,45.56,3.9008,12.50,52.82,Rnd_Adaptive_Content
13:17:00,6_data_TEST_DR4_FJMG0_SI1811.WAV.wav,2008_003814.png,Success,1.0704,0.000000,87.46,52.12,3.0001,4.20,53.52,Rnd_Adaptive_Content
13:17:01,6_data_TEST_DR4_MPCS0_SX369.WAV.wav,2008_000573.png,Success,1.0022,0.000000,86.75,56.40,3.5044,7.80,53.46,Rnd_Adaptive_Content
13:17:02,6_data_TEST_DR2_MRGG0_SA1.WAV.wav,2012_002622.jpg,Success,1.0281,0.000000,86.90,49.16,3.4040,10.40,54.27,Rnd_Adaptive_Content
13:17:03,6_data_TEST_DR3_MBDG0_SA2.WAV.wav,2011_004193.jpg,Success,0.9263,0.000000,88.31,48.02,2.5499,11.70,53.48,Rnd_Adaptive_Content
13:17:04,6_data_TEST_DR4_MDRM0_SX113.WAV.wav,2008_004767.jpg,Success,1.0146,0.000000,80.98,39.73,4.6071,13.00,54.45,Rnd_Adaptive_Content
13:17:05,6_data_TEST_DR2_MWEW0_SX11.WAV.wav,2010_000821.jpg,Success,0.9700,0.000000,81.05,54.76,4.5724,9.50,53.39,Rnd_Adaptive_Content
