File,k,Ratio,Audio MSE,Audio PSNR,Audio SNR,Rate(kBps),Image Size,Status
mkdr0_sx283.wav,8,4:2:0,6849.07827,51.95,8.52,7.57,256x256 (4:2:0),Success
msrg0_sx321.wav,8,4:2:0,3710.25667,54.61,19.91,4.51,256x256 (4:2:0),Success
mhxl0_sx332.wav,8,4:2:0,5234.0762,53.12,20.67,5.82,256x256 (4:2:0),Success
mdem0_sa2.wav,8,4:2:0,2672.58013,56.04,26.22,2.92,256x256 (4:2:0),Success
msfh1_si1900.wav,8,4:2:0,2505.89922,56.32,17.26,2.99,256x256 (4:2:0),Success
mlel0_sx346.wav,8,4:2:0,3833.02681,54.47,21.4,4.62,256x256 (4:2:0),Success
mgrt0_sx280.wav,8,4:2:0,6671.89998,52.07,11.71,8.08,256x256 (4:2:0),Success
ftbr0_sx21.wav,8,4:2:0,5193.4757,53.15,12.57,5.54,256x256 (4:2:0),Success
mlbc0_si1239.wav,8,4:2:0,2239.76851,56.81,21.75,2.66,256x256 (4:2:0),Success
mmdm0_sx411.wav,8,4:2:0,4114.79892,54.17,10.3,4.35,256x256 (4:2:0),Success
flac0_sx271.wav,8,4:2:0,5071.81931,53.26,23.04,5.69,256x256 (4:2:0),Success
mdaw1_sx283.wav,8,4:2:0,4261.86444,54.01,13.27,4.81,256x256 (4:2:0),Success
mjls0_si1096.wav,8,4:2:0,5948.0587,52.57,18.82,6.54,256x256 (4:2:0),Success
mmwh0_si1301.wav,8,4:2:0,4045.47345,54.24,17.1,4.41,256x256 (4:2:0),Success
fpad0_sx266.wav,8,4:2:0,6063.80515,52.48,18.18,6.73,256x256 (4:2:0),Success
mctm0_si1980.wav,8,4:2:0,4522.41195,53.76,13.55,5.25,256x256 (4:2:0),Success
fhes0_sx209.wav,8,4:2:0,3942.31605,54.35,15.59,4.61,256x256 (4:2:0),Success
mjda0_si1661.wav,8,4:2:0,8697.66031,50.91,10.89,7.85,256x256 (4:2:0),Success
mjes0_sx394.wav,8,4:2:0,5656.97191,52.78,14.21,6.67,256x256 (4:2:0),Success
fceg0_sx258.wav,8,4:2:0,7434.10371,51.6,14.64,9.48,256x256 (4:2:0),Success
mplb0_sx314.wav,8,4:2:0,3276.99369,55.15,17.03,3.8,256x256 (4:2:0),Success
fdmy0_sx117.wav,8,4:2:0,3269.1322,55.16,16.1,3.79,256x256 (4:2:0),Success
mtpr0_si1600.wav,8,4:2:0,3942.40601,54.35,11.4,4.41,256x256 (4:2:0),Success
mmdm2_sx102.wav,8,4:2:0,5063.33153,53.26,12.68,5.59,256x256 (4:2:0),Success
mjai0_si682.wav,8,4:2:0,3668.73608,54.66,15.59,4.03,256x256 (4:2:0),Success
mcew0_sx272.wav,8,4:2:0,4124.18576,54.16,17.99,4.2,256x256 (4:2:0),Success
